,Area pericolosità idraulica bassa,Area pericolosità idraulica media,Area pericolosità idraulica elevata,Area pericolosità da frana pai moderata,Area pericolosità da frana pai media,Area pericolosità da frana pai elevata,Area pericolosità da frana pai molto elevata
Alto Reno Terme,2.35,2.35,1.07,3.01,0.48,6.77,1.17
Anzola dell'Emilia,36.58,36.6,17.62,0,0,0,0
Argelato,35.1,35.1,8.73,0,0,0,0
Baricella,45.48,45.48,12.11,0,0,0,0
Bentivoglio,51.11,51.11,9.55,0,0,0,0
Bologna,88.49,81.28,8.26,0.01,0,9.52,0
Borgo Tossignano,4.05,4.05,1.75,0.47,0.68,5.6,0.34
Budrio,120.18,120.18,24.61,0,0,0,0
Calderara di Reno,40.75,40.75,38.39,0,0,0,0
Camugnano,3.48,3.48,2.01,13.75,1.48,39.99,4.67
Casalecchio di Reno,5.42,5.41,0.99,0,0,0.2,0
Casalfiumanese,9.25,9.25,3.22,0.71,0.39,25.27,0.24
Castel d'Aiano,0.1,0.1,0.04,0.66,0,6.17,0.56
Castel del Rio,3.18,3.18,1.38,0.55,0.32,4.67,0.43
Castel di Casio,2.64,2.64,1.56,7.67,1.69,18.4,0.85
Castel Guelfo di Bologna,28.61,28.61,4.98,0,0,0,0
Castel Maggiore,30.9,30.9,2.95,0,0,0,0
Castel San Pietro Terme,63.63,63.95,6.16,0.29,0,24.72,0.26
Castello d'Argile,29.07,29.07,9.51,0,0,0,0
Castenaso,35.73,35.73,2.5,0,0,0,0
Castiglione dei Pepoli,1.98,1.98,0.84,4.4,0.26,19.59,4.56
Crevalcore,102.75,102.68,4.19,0,0,0,0
Dozza,13.3,13.3,1.62,0,0,0,0
Fontanelice,3.26,3.26,1.37,0.27,0.26,2.64,0.16
Gaggio Montano,1.26,1.26,0.57,2.09,0.73,15.57,2.51
Galliera,36.95,37.15,36.95,0,0,0,0
Granarolo dell'Emilia,34.37,34.37,2.87,0,0,0,0
Grizzana Morandi,3.6,3.6,2.33,3.71,0.59,29.8,1.83
Imola,139.83,141.94,21.05,0,0,3.34,0
Lizzano in Belvedere,0.46,0.46,0.22,2.3,1.09,20.32,3.89
Loiano,1.34,1.34,0.48,3.49,0.96,11.89,2.11
Malalbergo,53.47,53.82,36.01,0,0,0,0
Marzabotto,7.94,7.94,3.92,0.77,0,7.32,0.12
Medicina,159.11,159.11,17.3,0,0,0,0
Minerbio,43.07,43.07,6.45,0,0,0,0
Molinella,127.06,127.84,19.9,0,0,0,0
Monghidoro,0.53,0.53,0.19,7.54,2.62,12.67,1.23
Monte San Pietro,3.37,3.37,0.94,1.81,0.59,20.34,1.43
Monterenzio,6.04,6.04,2.24,4.12,2.88,39.36,2.69
Monzuno,3.79,3.79,1.93,5.05,0.94,14.25,0.77
Mordano,21.28,21.45,0.35,0,0,0,0
Ozzano dell'Emilia,29.19,29.19,3.85,0,0.05,12.19,0.4
Pianoro,8.38,8.38,1.86,0.99,0.38,19.02,0.31
Pieve di Cento,15.94,15.94,13.44,0,0,0,0
Sala Bolognese,45.64,45.64,44.58,0,0,0,0
San Benedetto Val di Sambro,1.74,1.74,0.75,3.5,1,16.18,2.28
San Giorgio di Piano,30.43,30.43,1.33,0,0,0,0
San Giovanni in Persiceto,114.4,114.41,43.33,0,0,0,0
San Lazzaro di Savena,18.18,19.18,2.32,0.22,0,2.36,0.13
San Pietro in Casale,65.86,65.86,50.2,0,0,0,0
Sant'Agata Bolognese,34.79,34.79,0.57,0,0,0,0
Sasso Marconi,8.61,8.61,3.15,0.34,0,10.29,0.61
Valsamoggia,50.07,56.87,4.94,3.72,0.61,39.45,1.59
Vergato,3.39,3.39,1.56,4.07,0.55,15.81,1.15
Zola Predosa,21.01,21.09,5.77,0.02,0,0.39,0.04
